Date;Workout Name;Exercise Name;Set Order;Weight;Weight Unit;Reps;RPE;Distance;Distance Unit;Seconds;Notes;Workout Notes;Workout Duration
2022-11-12 18:44:29;"Week A Day 3";"Squat (Barbell)";1;180;lbs;4;7;;;0;"Pain in lower right oblique, correcting on the way up";"";1h 13m
2022-11-12 18:44:29;"Week A Day 3";"Squat (Barbell)";2;180;lbs;4;7;;;0;;;1h 13m
2022-11-12 18:44:29;"Week A Day 3";"Squat (Barbell)";3;180;lbs;4;8.5;;;0;;;1h 13m
2022-11-12 18:44:29;"Week A Day 3";"Squat (Barbell)";4;180;lbs;4;8;;;0;;;1h 13m
2022-11-12 18:44:29;"Week A Day 3";"Bench Press (Barbell)";1;130;lbs;4;7.5;;;0;"";;1h 13m
2022-11-12 18:44:29;"Week A Day 3";"Bench Press (Barbell)";2;130;lbs;4;7.5;;;0;;;1h 13m
2022-11-12 18:44:29;"Week A Day 3";"Bench Press (Barbell)";3;130;lbs;4;7.5;;;0;;;1h 13m
2022-11-12 18:44:29;"Week A Day 3";"Bench Press (Barbell)";4;130;lbs;6;9.5;;;0;;;1h 13m
2022-11-12 18:44:29;"Week A Day 3";"Overhead Press (Barbell)";1;70;lbs;8;8;;;0;"";;1h 13m
2022-11-12 18:44:29;"Week A Day 3";"Overhead Press (Barbell)";2;70;lbs;8;8.5;;;0;;;1h 13m
2022-11-12 18:44:29;"Week A Day 3";"Overhead Press (Barbell)";3;70;lbs;8;9.5;;;0;;;1h 13m
2022-11-12 18:44:29;"Week A Day 3";"Overhead Press (Barbell)";4;70;lbs;4;10;;;0;;;1h 13m
2022-11-12 18:44:29;"Week A Day 3";"Chin Up";1;0;lbs;5;8.5;;;0;"";;1h 13m
2022-11-12 18:44:29;"Week A Day 3";"Chin Up";2;0;lbs;5;8.5;;;0;;;1h 13m
2022-11-14 17:32:49;"Week B Day 1";"Bench Press (Barbell)";1;120;lbs;8;7;;;0;"";"";1h 15m
2022-11-14 17:32:49;"Week B Day 1";"Bench Press (Barbell)";2;120;lbs;8;7.5;;;0;;;1h 15m
2022-11-14 17:32:49;"Week B Day 1";"Bench Press (Barbell)";3;120;lbs;8;7.5;;;0;;;1h 15m
2022-11-14 17:32:49;"Week B Day 1";"Bench Press (Barbell)";4;120;lbs;6;10;;;0;;;1h 15m
2022-11-14 17:32:49;"Week B Day 1";"Deadlift (Barbell)";1;180;lbs;8;8;;;0;"";;1h 15m
2022-11-14 17:32:49;"Week B Day 1";"Deadlift (Barbell)";2;180;lbs;5;8;;;0;;;1h 15m
2022-11-14 17:32:49;"Week B Day 1";"Deadlift (Barbell)";3;180;lbs;6;8.5;;;0;;;1h 15m
2022-11-14 17:32:49;"Week B Day 1";"Deadlift (Barbell)";4;180;lbs;6;9;;;0;;;1h 15m
2022-11-14 17:32:49;"Week B Day 1";"Overhead Press (Barbell)";1;80;lbs;4;6;;;0;"";;1h 15m
2022-11-14 17:32:49;"Week B Day 1";"Overhead Press (Barbell)";2;80;lbs;4;7.5;;;0;;;1h 15m
2022-11-14 17:32:49;"Week B Day 1";"Overhead Press (Barbell)";3;80;lbs;4;8;;;0;;;1h 15m
2022-11-14 17:32:49;"Week B Day 1";"Overhead Press (Barbell)";4;80;lbs;6;9;;;0;;;1h 15m
2022-11-14 17:32:49;"Week B Day 1";"Bent Over Row (Barbell)";1;100;lbs;4;7.5;;;0;"";;1h 15m
2022-11-14 17:32:49;"Week B Day 1";"Bent Over Row (Barbell)";2;100;lbs;4;7.5;;;0;;;1h 15m
2022-11-14 17:32:49;"Week B Day 1";"Bent Over Row (Barbell)";3;100;lbs;4;7.5;;;0;;;1h 15m
2022-11-14 17:32:49;"Week B Day 1";"Bent Over Row (Barbell)";4;100;lbs;4;7.5;;;0;;;1h 15m
2022-11-17 09:54:35;"Week B Day 2";"Squat (Barbell)";1;170;lbs;8;7;;;0;"";"";1h 41m
2022-11-17 09:54:35;"Week B Day 2";"Squat (Barbell)";2;170;lbs;15;9;;;0;;;1h 41m
2022-11-17 09:54:35;"Week B Day 2";"Squat (Barbell)";3;170;lbs;10;9;;;0;;;1h 41m
2022-11-17 09:54:35;"Week B Day 2";"Squat (Barbell)";4;170;lbs;10;9;;;0;;;1h 41m
2022-11-17 09:54:35;"Week B Day 2";"Bench Press (Barbell)";1;130;lbs;5;9.5;;;0;"";;1h 41m
2022-11-17 09:54:35;"Week B Day 2";"Bench Press (Barbell)";2;95;lbs;15;10;;;0;;;1h 41m
2022-11-17 09:54:35;"Week B Day 2";"Bench Press (Barbell)";3;95;lbs;12;9.5;;;0;;;1h 41m
2022-11-17 09:54:35;"Week B Day 2";"Bench Press (Barbell)";4;95;lbs;10;10;;;0;;;1h 41m
2022-11-17 09:54:35;"Week B Day 2";"Overhead Press (Barbell)";1;70;lbs;8;8.5;;;0;"";;1h 41m
2022-11-17 09:54:35;"Week B Day 2";"Overhead Press (Barbell)";2;70;lbs;6;8;;;0;;;1h 41m
2022-11-17 09:54:35;"Week B Day 2";"Overhead Press (Barbell)";3;70;lbs;6;8.5;;;0;;;1h 41m
2022-11-17 09:54:35;"Week B Day 2";"Overhead Press (Barbell)";4;70;lbs;8;9.5;;;0;;;1h 41m
